GeneID	Tiefora_v_Ngousso_log2FoldChange	Ban_v_BanS_log2FoldChange	BanRe_v_BanS_log2FoldChange	Bak_v_Kisumu_log2FoldChange	VK7_v_Kisumu_log2FoldChange	Cameroon_v_Ngousso_log2FoldChange	Chad_v_Ngousso_log2FoldChange	Niger_v_Ngousso_log2FoldChange	Nigeria_v_Ngousso_log2FoldChange	Agboville_v_Mali_log2FoldChange	Agboville_v_Ngousso_log2FoldChange	Dabou_v_Mali_log2FoldChange	Dabou_v_Ngousso_log2FoldChange	Tiassale_v_Mali_log2FoldChange	Tiassale_v_Ngousso_log2FoldChange	Bouake_gamb_unexp_v_Kisumu_log2FoldChange	Bouake_colu_unexp_v_Ngousso_log2FoldChange	BusiaSurvivors_v_Kisumu_log2FoldChange	Asendabo_v_Moz_log2FoldChange	Chewaka_v_Moz_log2FoldChange	Tolay_v_Moz_log2FoldChange	Ethiopia_v_Dongola_log2FoldChange	Gou_v_Moz_log2FoldChange	Cam_fun_v_Fang_log2FoldChange	Fumoz_v_Fang_log2FoldChange	Ghana_fun_v_Fang_log2FoldChange	Malawi_fun_v_Fang_log2FoldChange	Uganda_fun_v_Fang_log2FoldChange	GeneName	GeneDescription
AGAP013506	0.886	0.11	0.001	0.033	0.002	0.619	0.483	0.637	0.088	0.256	0.597	0.063	0.848	0.279		0.037	0.03	0.001	0	0.046	0.02	0.147	0.003	0	0.321	0.027	0.081	0	""	""
AGAP007755	0.887	0	0	0	0	0.127	0.008	0	0	0.004	0	0.002	0	0.001	0	0.931	0	0.158	0.002	0.001	0.119	0.125	0.922	0.535	0.239	0.834	0.996	0.502	""	""
AGAP001812	0.887	0.393	0.84	0.657	0.932	0.824	0.794		0.855		0.935	0.158	0.178	0.244		0.39	0.298	0.081					0.081	0.756	0.351	0.205	0.251	0.171	IR75h.2	ionotropic receptor IR75h.2 [Source:VB Community Annotation]
AGAP002791	0.888	0.281	0.826	0.183	0.697	0.047	0.577	0.618	0.257	0.007	0.741	0.032	0.307	0.16	0.73	0.05	0.459	0.539	0.189	0.316	0.274	0.287	0.497	0.379	0.12	0.273	0.021	0.032	""	tRNA-dihydrouridine synthase 4 [Source:VB Community Annotation]
AGAP008901	0.888	0.006	0.06	0.045	0	0.247	0.46	0.294	0.669	0.435	0.046	0.351	0.056	0.85	0.274	0.926	0.044	0.637	0	0	0	0.913	0.064	0.006	0.88	0.885	0.997	0.747	""	""
AGAP002433	0.888	0.356	0.019	0.549	0.441	0.176	0.032	0.274	0.165	0.888	0.007	0.718	0	0.849	0.057	0.048	0.746	0.001	0.139	0.924	0.465	0.83	0.06	0	0.375	0.198	0.05	0.041	""	""
AGAP005777	0.888	0.238	0	0.148	0.049	0.752	0.966	0.993	0.453	0.704	0.827	0.793	0.702	0.952	0.943	0.658	0.848	0	0.099	0.077	0.516	0.281	0.063	0.055	0.07	0.001	0.001	0	""	Chloride channel protein [Source:UniProtKB/TrEMBL;Acc:Q7Q6L5]
AGAP012917	0.888	0.267	0.368	0.828	0.106	0.04	0.799	0.573	0.146								0.771	0.794	0.985	0.498	0.895	0.107		0	0.004	0.007	0.731	0.176	""	ADP-ribosylation factor-like protein 2-binding protein [Source:VB Community Annotation]
AGAP001803	0.888	0.493	0.002	0.124	0.19	0.692	0.587	0.767	0.929	0.869	0	0.913	0	0.51	0	0.714	0.379	0.247	0.746	0.667	0.15	0.4	0	0.81	0.869	0.691	0.964	0.293	""	""
AGAP001264	0.888	0.026	0.244	0.025	0.772	0.648	0.535	0	0	0.767	0.007	0.66	0.01	0.862	0	0.555	0.018	0	0.949	0.696	0.556	0.82	0.546	0.483	0.246	0.4	0.959	0.469	""	Plasma glutamate carboxypeptidase [Source:VB Community Annotation]
AGAP011964	0.889	0.817	0	0.445	0.003	0.911	0.625	0.717	0.982	0.068	0.009	0.019	0.002	0.859	0	0.16	0.033	0.881	0.292	0.599	0.568	0.029	0.184	0	0.026	0.002	0	0	""	""
AGAP004262	0.89	0.441	0.005	0	0	0.203	0.981	0	0	0.678	0	0.335	0	0.151	0	0	0.82	0	0.001	0.86	0.002	0.034	0.022	0.001	0	0.003	0.062	0.066	TO3	takeout 3 [Source:VB Community Annotation]
AGAP028217	0.89			0.752	0.842		0.85						0.814	0.337		0.807	0.692	0					0.931	0.419		0.253	0.083	0.229	""	""
AGAP005048	0.89	0.223	0.223	0.342	0.946	0.398	0.742	0.653	0.132	0.193	0.57	0.037	0.299	0.047	0.315	0.194	0.526	0.001	0.984	0.371	0.619	0.567	0.232	0.83	0.691	0.608	0.474	0.464	""	anaphase-promoting complex subunit 2 [Source:VB Community Annotation]
AGAP006178	0.89	0	0	0.828	0.056	0.173	0.98	0	0.006	0.316	0.001	0.006	0	0.523	0.007	0.014	0.003	0	0	0	0	0.072	0	0.083	0.505	0.904	0.688	0.68	""	troponin C [Source:VB Community Annotation]
AGAP002758	0.89	0.511	0.242	0.585	0.931	0.278	0.811	0.591	0.839	0.016	0.642	0.038	0.507	0.253	0.968	0.299	0.837	0.798	0.019	0.998	0.9	0.877	0.398	0.009	0.48	0.031	0.915	0.204	""	E3 ubiquitin-protein ligase RNF115/126 [Source:VB Community Annotation]
AGAP009640	0.89	0.258	0.984	0.308	0.533	0.918	0.987	0.643		0.864	0.976		0.74	0.321		0.392	0.908	0.151	0.642				0.933	0.407	0.519	0.138	0.152	0.021	Or1	odorant receptor 1 [Source:VB Community Annotation]
AGAP006532	0.89	0.36	0.2	0.903	0.527	0.178	0.169	0.001	0	0.014	0.018	0.045	0.032	0.003	0.005	0.245	0.66	0.004	0	0.163	0.151	0.231	0.278	0.626	0.446	0.462	0.142	0.957	""	UDPglucose 6-dehydrogenase [Source:VB Community Annotation]
AGAP009862	0.891	0.179	0.672	0.007	0.122	0.872	0.511	0.264	0.364	0.025	0.304	0.14	0.015	0.576	0.001	0.373	0.702	0	0.085	0.826	0.018	0.074	0.724	0.676	0.998	0.332	0.806	0.423	""	""
AGAP004875	0.891	0.513	0.433	0.428	0.098	0.782	0.652	0.458	0.785	0.631		0.77	0.879	0.954		0.54	0.584	0.065	0.388	0.889	0.171	0.993	0.457	0.377	0.206	0.584	0.228	0.305	""	""
AGAP012112	0.891	0.153	0.512	0	0	0.275	0.405	0.19	0.112	0.51	0	0.886	0	0.617	0	0.144	0	0	0.872	0.684	0.251	0.072	0.142	0.708	0.888	0.404	0.366	0.852	""	glucose dehydrogenase (acceptor) [Source:VB Community Annotation]
AGAP012453	0.892	0	0.018	0	0.091	0.985	0.978	0.628	0.293	0.115	0.958	0.121	0.963	0.633		0.013	0.622	0.232	0	0.701	0	0.349	0.063	0.455	0.993	0.517	0.549	0.942	""	hexosaminidase [Source:VB Community Annotation]
AGAP000251	0.892	0.862	0.973	0.042	0.196	0.887	0.187	0.792	0.72	0.869	0.175	0.713	0.083	0.659	0.075	0.819	0.776	0.014	0.291	0.617	0.844	0	0.464	0.274	0.651	0.683	0.122	0.58	""	""
AGAP000878	0.892	0.882	0.635	0.77	0.87	0.997	0.932			0.976	0.789			0.832		0.476	0.587	0.871					0.898	0.879		0.403	0.298	0.138	""	achaete-scute complex protein [Source:VB Community Annotation]
AGAP002988	0.893	0.292	0.973	0.16	0.741	0.937	0.773	0.541	0.451	0.721	0.042	0.406	0	0.37	0	0.081	0.068	0	0.316	0.835	0.257	0.005	0.002	0.566	0.803	0.617	0.69	0.392	""	DNA excision repair protein ERCC-2 [Source:VB Community Annotation]
AGAP009273	0.893	0.513	0.06	0.816	0.271	0.297	0.645	0.565	0.02			0.205	0.284	0	0.09	0	0		0	0.066	0.011	0.738	0.606	0.001		0.03	0.07	0.009	""	Seminal fluid protein HACP027 [Source:VB Community Annotation]
AGAP006215	0.893	0.312	0.538	0.802	0.094	0.276	0.591	0.612	0.515	0.359	0.311	0.608	0.568	0.963	0.966	0.002	0.823	0.908	0.548	0.559	0.002	0.85	0.879	0.493	0.658	0.787	0.684	0.453	GPRMTH1	methuselah receptor 1 [Source:VB Community Annotation]
AGAP011204	0.893	0.005	0.522	0.013	0	0.728	0.352	0.107	0.116	0.044	0	0.044	0	0.023	0	0.052	0.729	0	0	0	0.006	0.336	0.037	0.373	0.731	0.615	0.974	0.731	""	aubergine [Source:VB Community Annotation]
AGAP010438	0.893	0.775	0.004	0.01	0.022	0.774	0.12	0.091	0.033	0.203	0.089	0.839	0.001	0.301	0.037	0	0.093	0.014	0.529	0.648	0.317	0.842	0	0.026	0.033	0.565	0.141	0.148	""	nuclear receptor subfamily 0 group A [Source:VB Community Annotation]
AGAP005462	0.893	0.09	0.628	0.591	0.74	0.111	0.803	0.047	0.021	0.329	0.61	0.642	0.04	0.199	0.61	0.004	0.948	0	0.095	0.842	0.36	0.699	0.079	0.001	0.204	0.098	0.161	0.351	""	""
AGAP009703	0.893	0.486	0.061	0.063	0	0.216	0.159	0.687	0.296	0.411	0.001	0.507	0.001	0.023	0	0.01	0	0	0.012	0.03	0.082	0.581	0.003	0.013	0.345	0.928	0.911	0.533	""	ubiquitin-conjugating enzyme E2 variant [Source:VB Community Annotation]
AGAP010686	0.893	0.679	0.002	0.428	0.514	0.832	0.651	0.779	0.941	0.024	0.997	0.101	0.674	0.015	0.859	0.63	0.76	0.816	0	0.158	0.008	0.246	0.818	0.823	0.629	0.842	0.791	0.68	""	""
AGAP011515	0.893	0.889	0.01	0.001	0.016	0.159	0.598	0	0.005	0.825	0	0.396	0	0.587	0	0.983	0.888	0.022	0	0	0	0	0	0	0.536	0	0	0	""	cytoplasmic actin [Source:VB Community Annotation]
AGAP001386	0.893	0.051	0.631	0	0.212	0.099	0.004	0.373	0.453	0.016	0.008	0.017	0.005	0.004	0.003	0.357	0.589	0	0	0.016	0	0.885	0.002	0.604	0.2	0.416	0.841	0.867	""	remodeling and spacing factor 1 [Source:VB Community Annotation]
AGAP011573	0.893	0.825	0.296	0.424	0.434	0.97	0.061	0.188	0.079	0.891	0.896	0.5	0.464	0.217	0.159	0.194	0.301	0.412	0.314	0.341	0.194	0.45	0.533	0	0.385	0.161	0.151	0.102	""	""
AGAP012047	0.893	0.212	0.859	0.103	0.012	0.004	0	0.183	0.019	0.801	0.479	0.164	0.05	0.731	0.424	0.794	0.216	0.955	0.001	0.002	0.001	0.543	0.901	0.921	0.433	0.626	0.937	0.878	""	arylsulfatase B precursor [Source:VB Community Annotation]
AGAP013524	0.893	0.388	0.859	0.589	0.351	0.907	0.381	0.528	0.883	0.18	0.539	0.079	0.835	0.071	0.812	0.857	0.658	0.265	0.048	0.18	0.199	0.006	0.211	0.605	0.994	0.952	0.842	0.663	""	""
AGAP003902	0.894	0.818	0.058	0.577	0.602	0.803	0.262	0.246	0.112	0.202	0.004	0.251	0.004	0.879	0.121	0.768	0.018	0.002	0.026	0.629	0.912	0.411	0.002	0.035	0.435	0.347	0.346	0.352	""	anaphase-promoting complex subunit 7 [Source:VB Community Annotation]
AGAP004507	0.894	0.941	0.002	0	0.002	0.096	0.683	0.808	0.358	0	0.189	0.001	0.26	0.007	0.309	0.667	0.397	0.049	0.366	0.272	0.72	0.137	0.195	0.536	0.977	0.92	0.986	0.764	""	Dedicator of cytokinesis [Source:VB Community Annotation]
AGAP008305	0.894	0.51	0.005	0	0.463	0.016	0.029	0	0.001	0.997	0.514	0.539	0.811	0.716	0.72	0.713	0.461	0	0.877	0.39	0.47	0.412	0.012	0.807	0.236	0.083	0.57	0.243	""	phosphoglucomutase [Source:VB Community Annotation]
AGAP002299	0.895	0.083	0.041	0	0.744	0.176	0.42	0.265	0.001	0	0.133	0.001	0.029	0	0.04	0.287	0.013	0.67	0.145	0.061	0.025	0.203	0.404	0.146	0.698	0.39	0.342	0.144	""	XK-related protein [Source:UniProtKB/TrEMBL;Acc:Q7QBT4]
AGAP006720	0.895			0.997	0.229		0.896						0.734			0.946	0.262	0.928					0.948	0.768	0.839	0.438	0.29	0.754	""	""
AGAP010220	0.895	0.001	0	0.021	0.501	0	0.009	0	0.004	0.325	0.005	0.9	0	0.875	0	0.077	0	0.81	0.661	0.975	0.419	0.048	0	0.49	0.674	0.906	0.718	0.971	""	Proliferating cell nuclear antigen [Source:UniProtKB/TrEMBL;Acc:Q7Q0Q0]
AGAP003271	0.896	0.203	0	0.15	0.1	0.019	0	0.956	0.486	0.381	0.045	0.097	0.014	0.136	0.003	0.103	0.378	0.008	0	0.304	0.432	0.064	0	0.011	0.56	0.757	0.272	0.417	""	dynein, axonemal, heavy chain 5 [Source:VB Community Annotation]
AGAP011351	0.896	0.09	0.059	0.521	0.916	0.522	0.695	0.039	0.004	0.857	0.91	0.875	0.856	0.52	0.874	0.345	0.144	0	0.133	0.002	0.064	0.584	0.552	0.645	0.495	0.809	0.777	0.7	""	Rab6-interacting [Source:VB Community Annotation]
AGAP011660	0.896	0.002	0.006	0	0.003	0.626	0.219	0.085	0.07	0.044	0.32	0.006	0.094	0.67	0.814	0.014	0.097	0	0.538	0.363	0.391	0.287	0.098		0.028	0.003	0	0.001	""	""
AGAP001158	0.896	0.68	0	0.225	0.06	0.853	0.66	0.55	0.868	0.657	0.11	0.93	0.002	0.439	0	0.89	0.021	0	0.009	0.988	0.232	0.037	0.029	0	0.325	0.004	0.021	0.033	""	""
AGAP005650	0.897	0.868	0.01	0.265	0.461	0.975	0.439	0.822	0.458	0.516	0.239	0.181	0.297	0.829	0.05	0.722	0.88	0.25	0.848	0.793	0.938	0.517	0.529	0.655	0.481	0.262	0.35	0.503	""	(acyl-carrier-protein) S-malonyltransferase [Source:VB Community Annotation]
AGAP008414	0.897	0.103	0.25	0.429	0.177	0.403	0.884	0.045	0.094	0.302	0.963	0.623	0.732	0.8	0.478	0.312	0.769	0.394	0.154	0.016	0.604	0.001	0.976	0.154	0.464	0.088	0.275	0.218	""	alpha-methylacyl-CoA racemase [Source:VB Community Annotation]
AGAP005460	0.897	0.81	0.031	0.791	0.968	0.026	0.122	0.257	0.577	0.204	0.003	0.037	0.011	0.063	0.114	0.048	0.426	0.522	0.604	0.961	0.062	0.563	0.945	0.431	0.457	0.188	0.165	0.16	""	phosphopantetheine adenylyltransferase / dephospho-CoA kinase [Source:VB Community Annotation]
AGAP029139	0.897	0.002	0.685	0	0	0.974	0.436	0.516	0.147	0.85	0.56	0.85	0.311	0.324	0.644	0.949	0.834	0.508	0.268	0.307	0.009	0.038	0.02	0	0	0.001	0.005	0.073	""	""
AGAP005228	0.897	0.862	0.245	0.63	0.884	0.969	0.858	0.062	0.001	0.018	0.46	0.091	0.709	0.007	0.287	0.214	0.64	0.383	0.001	0.002	0.378	0.015	0.973	0.001	0.35	0.341	0.438	0.253	Med9	mediator of RNA polymerase II transcription subunit 9 [Source:VB Community Annotation]
AGAP011358	0.898	0.972	0.64	0.016	0.199	0.942	0.792	0.588	0.239	0.932	0.532	0.814	0.287	0.903	0.767	0.15	0.938	0.37	0.709	0.353	0.125	0.755	0.933	0.3	0.989	0.51	0.908	0.881	""	""
AGAP005217	0.899	0.88	0.228	0.617	0.213	0.012	0.031	0.007	0			0	0.094	0	0.012	0.078	0.373	0.214	0.811	0.835	0.085	0.197	0.55	0.101	0.073	0.617	0.634	0.537	""	""
AGAP006903	0.9	0.742	0.001	0.195	0.661	0.854	0.023	0.125	0.038	0.565	0.058	0.029	0	0.131	0.015	0.003	0.31	0	0.001	0.004	0.006	0.366	0.734	0.067	0.306	0.519	0.96	0.7	""	ST6Gal [Source:VB Community Annotation]
AGAP003178	0.901	0.009	0.723	0	0.247	0.479	0.823	0.812	0.069	0.435	0.169	0.708	0.054	0.559	0.076	0.535	0.919	0.13	0.852	0.128	0.664	0	0.049	0	0	0	0	0.037	GRX2	glutaredoxin [Source:VB Community Annotation]
AGAP005825	0.901	0.724	0.618	0.001	0.663	0.811	0.252	0.919	0.849	0.114	0.514	0.788	0.354	0.523	0.927	0.022	0.343	0.573	0.012	0	0	0.752	0.108	0.866	0.994	0.717	0.516	0.557	""	acylglycerol kinase [Source:VB Community Annotation]
AGAP006800	0.901	0.589	0.151	0.1	0.511	0.395	0	0.896	0.979	0.241	0.935	0.132	0.961	0.287	0.945	0.881	0.992	0.005	0.031	0.122	0.156	0.119	0	0.38	0.24	0.563	0.725	0.654	""	""
AGAP001411	0.902	0	0.021	0.289	0.869	0.738	0.01	0	0.008	0	0.432	0.009	0.165	0.213	0.16	0.697	0.67	0	0.088	0.658	0.771	0.001	0.001	0.152	0.103	0.677	0.451	0.583	""	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 [Source:VB Community Annotation]
AGAP002598	0.902	0.87	0.667	0.157	0.28	0.284	0.083	0.054	0.01	0.533	0.245	0.42	0.174	0.298	0.093	0.248	0.012	0.945	0.729	0.415	0.03	0.081	0.811	0.163	0.261	0.239	0.251	0.457	""	""
AGAP003049	0.902	0.328	0.146	0.962	0	0.327	0.656	0.835	0.869	0.151	0.001	0.008	0	0.298	0.015	0.031	0.767	0.876	0	0	0	0.164	0.012	0	0.004	0	0	0	""	stearoyl-CoA desaturase (delta-9 desaturase) [Source:VB Community Annotation]
AGAP004506	0.902	0.432	0.014	0.135	0.764					0.962				0.79		0.085	0.493	0.246					0.179	0.587	0.418	0.347	0.144	0.21	pburs	Partner of bursicon [Source:UniProtKB/Swiss-Prot;Acc:Q566B3]
AGAP004728	0.902	0.289	0.144	0.183	0.439	0.603	0.724	0.029	0.086	0.149	0.834	0.516	0.787	0.828	0.31	0.147	0.568	0	0	0.103	0	0.924	0.236	0	0.039	0.012	0.165	0	""	""
AGAP005014	0.902	0.825	0.061	0.141	0.042	0.924	0.824	0.414	0.83	0.251	0.001	0.641	0	0.458	0	0	0	0.009	0.225	0.017	0.236	0.006	0.007	0	0.03	0.027	0.071	0.022	""	""
AGAP007270	0.902	0.692	0.074	0.434	0.923	0.981	0.47	0.73	0.529	0.571	0.955	0.41	0.734	0.996	0.428	0.873	0.833	0.365	0.048	0.324	0.087		0.257	0.394	0.761	0.643	0.533	0.889	""	""
AGAP007323	0.902	0.96	0.846	0.79	0.836	0.805	0.89			0.957	0.884		0.995	0.836		0.662	0.906	0.153					0.964	0.996		0.994		0.995	""	""
AGAP009833	0.902	0	0.587	0.097	0.403	0.218	0.81	0.318	0.454	0.888	0.001	0.807	0.004	0.641	0	0.247	0.762	0.182	0	0.001	0	0.02	0.34	0.001	0.715	0.014	0.002	0.003	""	voltage-dependent anion-selective channel protein 2 [Source:VB Community Annotation]
AGAP013297	0.902	0.933	0.832	0.872	0.718	0.626	0.554	0.459	0.488	0.888	0.808	0.911	0.917	0.827	0.791	0.128	0.569	0.857				0.872	0.67	0.063	0.569	0.648	0.994	0.446	""	""
AGAP000434	0.902	0.011	0.562	0.011	0.001	0.975	0.27	0.368	0.007	0.027	0.001	0.084	0.002	0.005	0	0.007	0.439	0	0.001	0.055	0.354	0.293	0.088	0.546	0.939	0.538	0.679	0.688	""	dolichyl-diphosphooligosaccharide--protein glycosyltransferase [Source:VB Community Annotation]
AGAP001782	0.902	0.329	0	0.155	0	0.981	0.468	0.33	0.653	0.496	0.826	0.274	0.503	0.611	0.852	0.15	0.206	0.006	0.282	0.792	0.246	0	0	0	0.302	0.016	0.013	0.011	""	""
AGAP003085	0.902	0.397	0.331	0.572	0.914	0.549	0.945	0.831	0.968	0.977	0	0.602	0	0.629	0.011	0.364	0	0.176	0.762	0.511	0.086	0.66	0.636	0.289	0.484	0.381	0.466	0.476	""	splicing factor 3A [Source:VB Community Annotation]
AGAP004191	0.902	0.554	0.151	0.563	0.348	0.433	0.92	0.121	0.034	0.623	0.16	0.778	0.205	0.384	0.947	0.077	0.175	0.249	0.009	0.047	0.001	0.098	0.272	0.03	0.889	0.897	0.978	0.814	Med22	Mediator of RNA polymerase II transcription subunit 22 [Source:UniProtKB/Swiss-Prot;Acc:Q7QB45]
AGAP007767	0.902	0.066	0	0	0	0.226	0.013	0.618	0.973	0.903	0	0.068	0	0.029	0	0.185	0.323	0.858	0.001	0	0.028	0	0	0	0.001	0	0	0	""	""
AGAP007983	0.902	0.126	0.006	0.077	0.544	0.777	0.152	0.972	0.152	0.5	0.291	0.668	0.013	0.871	0.045	0.014	0.098	0	0	0	0	0.865	0.149	0.001	0.146	0	0.005	0	""	lunapark [Source:VB Community Annotation]
AGAP008205	0.902	0.379	0.795	0.812	0.105	0.935	0.767	0.604	0.841	0.677	0.629	0.586	0.552	0.487		0.979	0.169	0.434	0.774	0.993	0.873	0.55	0	0.796	0.156	0.457	0.278	0.898	CYP6R1	cytochrome P450 [Source:VB Community Annotation]
AGAP009095	0.902	0.819	0.001	0.117	0.235	0.51	0.584	0.767	0.476	0.517	0.454	0.329	0.313	0.029	0.022	0.02	0.899	0.084	0	0.324	0	0.726	0.021	0.002	0.584	0.033	0.006	0.021	""	""
AGAP012192	0.902	0.256	0.591	0.971	0.51	0.811	0.481	0.356	0.705	0.155	0.089	0.352	0.005	0.579	0.017	0	0.679	0	0.034	0.482	0.003	0	0.847	0.472	0.119	0.275	0.151	0.107	""	DNA mismatch repair protein MLH1 [Source:VB Community Annotation]
AGAP010580	0.902	0.661	0.874	0.02	0	0.627	0.574	0	0	0.154	0.038	0.007	0.012	0.233	0.001	0.335	0	0.461	0.208	0.534	0.898	0	0.83	0	0.004	0	0.023	0.061	""	""
AGAP009486	0.902	0.007	0	0.906	0.219	0	0.103	0	0	0.001	0	0.006	0	0.164	0	0.162	0	0	0.256	0.151	0.473	0.024	0.665	0.006	0.282	0.004	0	0	""	V-type H+-transporting ATPase 54 kD subunit [Source:VB Community Annotation]
AGAP006548	0.903	0.395	0	0.017	0.003	0.558	0.024	0	0	0.352	0.218	0.362	0.239	0.027	0.946	0	0	0.049	0.001	0.283	0.027	0	0	0.55	0.767	0.936	0.422	0.871	""	glycine cleavage system H protein [Source:VB Community Annotation]
AGAP002293	0.903	0.018	0	0.591	0.65	0.26	0.017	0.002	0.002	0.321	0	0.551	0	0.239	0	0	0.793	0	0.416	0.181	0.126	0.579	0.001	0.933	0.669	0.969	0.835	0.848	""	intraflagellar transport 81 homolog [Source:VB Community Annotation]
AGAP003607	0.903	0.495	0.027	0.117	0	0.775	0.74	0.183	0.153	0.807	0.039	0.294	0.002	0.071	0	0.514	0.785	0	0.649	0.526	0.74	0.768	0.156	0.799	0.288	0.959	0.791	0.532	""	Cad96Cb, isoform B [Source:UniProtKB/TrEMBL;Acc:A0A1S4GJ87]
AGAP009222	0.903	0	0.202	0.027	0.424	0.163	0.074	0.876	0.687	0.67	0	0.406	0	0.564	0	0.696	0.064	0.023	0.066	0.021	0.051	0.117	0.002	0.384	0.16	0.861	0.682	0.461	""	DNA ligase 1 [Source:VB Community Annotation]
AGAP004718	0.903	0.066	0.018	0.006	0.416	0.548	0.581	0.072	0.063	0.127	0.028	0	0	0.003	0	0	0.281	0	0.965	0.611	0.084	0.964	0.141	0.974	0.546	0.961	0.941	0.367	""	""
AGAP001301	0.903	0.723	0.655	0.601	0.781	0.459	0.233	0.918	0.666	0.517	0.514	0.768	0.853	0.958	0.83	0.84	0.087	0.181	0.989	0.805	0.819		0.129	0.665	0.375	0.622	0.311	0.165	""	Bardet-Biedl syndrome 5 protein [Source:VB Community Annotation]
AGAP001756	0.903	0.006	0.476	0.611	0.542	0.145	0.461	0.962	0.002	0.424	0.726	0.592	0.492	0.9	0.201	0.039	0.274	0	0.052	0.001	0.06	0.935	0.857	0.003	0.11	0.482	0.953	0.067	""	solute carrier family 44, member 3 [Source:VB Community Annotation]
AGAP009011	0.903	0.38	0.46	0.649	0.203	0.523	0.231		0.464	0.797	0.985	0.992	0.699	0.918		0.776	0.386	0.151					0.189	0.474	0.934	0.233	0.221	0.175	""	""
AGAP011060	0.904	0.312	0.338	0.987	0.363	0.127	0.633	0.814	0.764	0	0.985	0	0.953	0.018	0.442	0.632	0.627	0.769	0.162	0.075	0.008	0.024	0.448	0.063	0.754	0.832	0.289	0.966	""	calcium binding protein 39 [Source:VB Community Annotation]
AGAP004014	0.904	0.711		0.947	0.329	0.858							0.783			0.926	0.723	0.326						0.525	0.513	0.84	0.936	0.884	SP11706	""
AGAP001403	0.904	0.245	0.937	0.905	0	0.792	0	0.075	0.369	0.673	0.804	0.165	0.024	0.55	0.103	0	0	0.602	0.169	0.417	0.175	0.002	0.001	0.828	0.448	0.346	0.379	0.951	""	protein Mpv17 [Source:VB Community Annotation]
AGAP002615	0.904	0.516	0.577	0.137	0	0.184	0.157	0.106	0.298	0.089	0.018	0.142	0.023	0.261	0.058	0.277	0.019	0.658	0	0	0.001	0.71	0.001	0.473	0.41	0.37	0.337	0.36	""	""
AGAP002145	0.905	0	0	0.079	0	0.058	0.001	0	0	0.173	0	0.93	0	0.186	0	0.037	0	0	0.536	0.883	0.975	0.114	0.006	0	0.02	0	0	0.002	""	inactivation no afterpotential D protein [Source:VB Community Annotation]
AGAP004579	0.905	0.994	0	0.138	0.344	0.792	0.832	0.069	0.042	0.274	0.029	0.775	0	0.534	0	0.231	0.013	0.002	0.509	0.018	0.269	0	0.286	0.849	0.292	0.304	0.503	0.607	cdk2	cyclin-dependent kinase 2 [Source:VB Community Annotation]
AGAP007010	0.905	0.038	0	0	0.912	0.851	0.135	0.009	0.003	0.534	0.121	0.164	0.02	0.447	0.102	0.294	0.133	0.088	0.695	0.16	0.901	0.069	0	0.289	0.956	0.479	0.955	0.482	""	""
AGAP012779	0.905	0.006	0.22	0.171	0.013	0.647	0.546	0.305	0.354	0.971	0.614	0.613	0.949	0.555	0.913	0.835	0.774		0.565	0.798	0.045	0.642	0.603	0.005	0.218	0.431	0.443	0.347	""	""
AGAP005308	0.905	0.393	0.567	0.034	0.002	0.807	0.848	0.778	0.506	0.983	0.479	0.732	0.228	0.958	0.445	0.001	0.685	0	0.409	0.972	0.661	0.133	0.652	0	0.153	0	0.001	0	""	""
AGAP003440	0.905	0.932	0.022	0	0.74	0.313	0.619	0.186	0	0.65	0.002	0.871	0.044	0.477	0	0.087	0.398	0.031	0.388	0.851	0.027	0.103	0.015	0.04	0.037	0.652	0.167	0.987	""	""
AGAP001910	0.905	0.683	0.004	0	0.09	0.384	0.463	0.603	0.366	0.795	0.412	0.822	0.451	0.933	0.835	0.833	0.292	0.968	0	0.013	0	0.001	0.195	0.736	0.771	0.208	0.556	0.481	RpS3	40S ribosomal protein S3 [Source:VB Community Annotation]
AGAP004117	0.906	0	0	0.701	0	0.761	0.8	0.202	0.022	0.114	0.505	0.092	0.414	0.003	0.042	0.979	0.982	0.756	0	0	0	0.508	0.428	0.02	0.136	0.093	0.498	0.597	""	G protein-coupled receptor kinase [Source:VB Community Annotation]
AGAP002933	0.906	0.178	0.406	0.001	0	0.882	0.488	0.89	0.836	0.986	0.031	0.993	0.003	0.745	0.018	0.861	0.493	0	0.474	0.387	0.113	0.351	0.107	0.578	0.874	0.331	0.836	0.992	""	2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1 [Source:VB Community Annotation]
AGAP010435	0.906	0.235	0	0.07	0	0.019	0.001	0.995	0.54	0.954	0.031	0.939	0.005	0.881	0	0.211	0.774	0	0	0.001	0.027	0.47	0.01	0.276	0.936	0.984	0.868	0.584	""	dynein heavy chain 9, axonemal [Source:VB Community Annotation]
AGAP013516	0.906	0.017	0.291	0.861	0.004	0.737	0.003	0.052	0.011	0.521	0.012	0.385	0.019	0.259	0.006	0.082	0.235	0	0.08	0.094	0.063	0.395	0.825	0	0.009	0.003	0.103	0.003	""	mitogen-activated protein kinase kinase kinase 7 [Source:VB Community Annotation]
AGAP006234	0.907	0.836	0.022	0.564	0.709	0.737	0.983	0.366	0.803	0.344	0.891	0.955	0.137	0.846	0.237	0.407	0.896	0	0.233	0.875	0.22	0.013	0.001	0.014	0.161	0.111	0.129	0.055	""	protein SHQ1 [Source:VB Community Annotation]
