GeneID	Tiefora_v_NG_log2FoldChange	Gou_v_Moz_log2FoldChange	Ban_v_BanS_log2FoldChange	BanRe_v_BanS_log2FoldChange	Bak_v_Kis_log2FoldChange	VK7_v_Kis_log2FoldChange	Cameroon_v_NG_log2FoldChange	Chad_v_NG_log2FoldChange	Niger_v_NG_log2FoldChange	Nigeria_v_NG_log2FoldChange	Agboville_v_Mali_log2FoldChange	Agboville_v_NG_log2FoldChange	Dabou_v_Mali_log2FoldChange	Dabou_v_NG_log2FoldChange	Tiassale_v_Mali_log2FoldChange	Tiassale_v_NG_log2FoldChange	Cam_fun_v_Fang_log2FoldChange	Fumoz_v_Fang_log2FoldChange	Ghana_fun_v_Fang_log2FoldChange	Malawi_fun_v_Fang_log2FoldChange	Uganda_fun_v_Fang_log2FoldChange	Asendabo_v_Moz_log2FoldChange	Chewaka_v_Moz_log2FoldChange	Tolay_v_Moz_log2FoldChange	Ethiopia_v_Dongola_log2FoldChange	GeneName	GeneDescription
AGAP001826	0.622	0.007	0.56	0.005	0.728	0.584	0.844	0.025	0	0	0.507	0	0.472	0.001	0.654	0	0	0.122	0.01	0.184	0.07	0.297	0	0	0.989	Lp	lipophorin [Source:VB Community Annotation]
AGAP002870	0.622	0.012	0.627	0.462	0.373	0.387	0.38	0.542		0.838	0.229	0.026	0.076	0.017	0.002	0.189	0.591		0.811	0.856	0.908	0.923	0.845	0.953	0.635	CYP6AD1	cytochrome P450 [Source:VB Community Annotation]
AGAP003583	0.622	0.948	0.005	0.002	0.003	0	0.03	0.001	0.841	0.777	0.028	0	0.008	0	0.004	0	0.483	0.214	0.006	0.155	0.001	0.031	0.005	0	0.239	""	L-iditol 2-dehydrogenase [Source:VB Community Annotation]
AGAP005360	0.622	0.067	0	0.027	0	0.011	0.031	0.179	0.001	0.001	0	0	0	0	0	0	0.224	0.163	0.006	0.23	0.104	0.127	0.004	0.018	0.232	""	PQ loop repeat-containing protein 3 [Source:VB Community Annotation]
AGAP001328	0.623	0.259	0.005	0.517	0.023	0.003	0.888	0.412	0.752	0.616	0.035	0.688	0.046	0.926	0.001	0.369	0.003	0.041	0.025	0.134	0.095	0.001	0.034	0	0.437	""	tripartite motif-containing protein 33 [Source:VB Community Annotation]
AGAP006465	0.623	0.156	0.185	0.213	0.292	0.205	0.072	0.347		0.481	0.508			0.46			0.075	0.351	0.034	0.086	0.013	0.264	0.897	0.001		""	""
AGAP010805	0.623	0.102	0.978	0.004	0	0	0.035	0.443	0.972	0.544	0.015	0.282	0.001	0.265	0.014	0.235	0	0.079	0	0.002	0	0.417	0.32	0.081	0.959	""	""
AGAP000069	0.623	0.475	0.463	0.105	0.179	0.88	0.684	0.603		0.882	0.898		0.714	0.059	0.941		0.166	0.118	0.976	0.619	0.603	0.215	0.024	0.556	0.953	""	""
AGAP003363	0.623	0.749	0.587	0	0	0.001	0.614	0.126	0.013	0.003	0.254	0	0.395	0	0.463	0	0.003	0.095	0.012	0.231	0.014	0.991	0.66	0.938	0.005	""	Transmembrane and TPR repeat-containing protein [Source:VB Community Annotation]
AGAP005941	0.623	0.717	0.481	0.264	0.356	0.481	0.714	0.875		0.677	0.599			0.344	0.372	0.865	0.815	0.892	0.395	0.172	0.307	0.093	0.722	0.783		""	""
AGAP005325	0.623	0.047	0	0.012	0.077	0.04	0.861	0.973	0	0	0.748	0.003	0.417	0.021	0.542	0.4	0.246	0.107	0.001	0.081	0.032	0.002	0.028	0.01	0.004	""	spermine synthase [Source:VB Community Annotation]
AGAP012104	0.624	0.923	0.953	0.265	0.364	0.411	0.213	0.021	0	0.003	0.998	0.883	0.648	0.767	0.988	0.873	0	0.048	0	0.273	0	0.288	0.796	0.723	0.536	""	(Dimethylallyl)adenosine tRNA methylthiotransferase MiaB [Source:VB Community Annotation]
AGAP002856	0.624	0.835	0.743	0.618	0.152	0.311	0.988	0.943		0.787	0.53		0.108	0.568	0.139	0.627	0.002	0.227	0.216	0.314	0.035	0	0.076	0	0.023	""	""
AGAP005105	0.624	0.834	0.228	0.067	0.44	0.721	0.138	0.124	0.245	0.059	0.791	0.176	0.588	0.709	0.479	0.895	0.526	0.471	0.336	0.996	0.379	0.081	0.598	0.489	0.024	""	""
AGAP011440	0.624	0.002	0.938	0.001	0.896	0.31	0.751	0.787	0.464	0.726	0.482	0.003	0.722	0	0.824	0	0.06	0.098	0.506	0.234	0.161	0.639	0.469	0.214	0.417	""	nucleolar protein 9 [Source:VB Community Annotation]
AGAP013109	0.624	0.946	0.67	0.957	0.637	0.973	0.84	0.661		0.062	0.143	0.002	0.04	0.004	0.184	0.018		0.09	0	0.078	0	0.325	0.237	0.838	0.322	""	""
AGAP001313	0.624	0.014	0.132	0.007	0.002	0.248	0.017	0.177	0.818	0.011	0.483	0.151	0.873	0.048	0.938	0.07	0.771	0.883	0.455	0.458	0.122	0	0.048	0.344	0.101	""	Muscular protein 20 [Source:VB Community Annotation]
AGAP001475	0.624	0.678	0.407	0.684	0.567	0.638	0.156	0.861	0.31	0.37	0	0.001	0.04	0.069	0.004	0.021	0.1	0.688	0.175	0.724	0.219	0	0.012	0	0	""	""
AGAP027982	0.624	0.109	0.444	0.643	0.016	0.011	0	0.067	0.008	0.003	0.105	0.331	0.003	0.011	0.005	0.029	0.804	0.713	0.111	0.937	0.794	0.002	0	0.003	0.01	""	""
AGAP006445	0.624	0.165	0.715	0.529	0.845	0.009	0.856	0.903	0.942	0.721	0.006	0.144	0.183	0.002	0.325	0	0	0.032	0	0.015	0	0.722	0.534	0.957	0.087	""	COP9 signalosome complex subunit 3 [Source:VB Community Annotation]
AGAP008264	0.624	0.751	0.05	0.418	0.013	0.079	0.763	0.928	0.129	0.721	0.588	0.047	0.157	0.383	0.101	0.952	0.49	0.636	0.939	0.755	0.661	0.889	0.122	0.003	0	""	Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1S4GYF7]
AGAP007800	0.625	0.879	0.527	0.22	0.22	0.605	0.799	0.282	0.911	0.83	0.879			0.767	0.168	0.822	0.001	0.045	0	0	0	0.789	0.999	0.551	0.362	""	Hyperpolarization activated cyclic nucleotide-gated potassium channel [Source:VB Community Annotation]
AGAP004848	0.625	0.841	0.427	0	0.939	0.196	0.974	0.203	0.77	0.947	0.751	0.51	0.97	0.33	0.935	0.352	0	0.068	0.031	0.47	0.015	0	0.547	0.254	0.937	""	""
AGAP001695	0.626	0.62	0.956	0.529	0.774	0.179	0.837	0.498	0.229	0.012	0.246	0	0.022	0	0	0	0.234	0.213	0.874	0.619	0.726	0	0.171	0.011	0.58	""	""
AGAP005208	0.626	0	0.091	0.8	0	0.212	0.733	0.047	0.067	0.019	0.878	0.889	0.411	0.304	0.432	0.345	0	0.087	0	0	0	0.286	0.998	0.034	0.553	OBP20	odorant-binding protein 20 [Source:VB Community Annotation]
AGAP011344	0.626	0.587	0.349	0.039	0	0.001	0.836	0.003	0.012	0.008	0.389	0.763	0.555	0.609	0.234	0.894	0	0.005	0.817	0.24	0.285	0.007	0.056	0	0.563	""	""
AGAP000747	0.627	0.863	0	0.004	0.012	0.026	0.947	0.009	0.077	0.439	0.668	0.944	0.466	0.967	0.317	0.639	0.002	0.447	0.187	0.76	0.943	0	0	0	0.23	""	mitogen-activated protein kinase kinase kinase 5 [Source:VB Community Annotation]
AGAP003212	0.627	0.257	0.374	0.028	0.53	0	0.991	0.074	0.522	0.012	0.001	0.011	0	0	0.012	0.067	0.28	0.559	0.143	0.651	0.634	0.2	0.207	0.17	0.577	Adrenodoxin	""
AGAP008645	0.627	0.084	0.129	0.043	0	0.027	0.952	0.133	0.961	0	0	0.039	0.042	0.231	0.005	0.112	0.307		0.64	0.97	0.544	0	0.067	0.021	0.013	GAM1	gambicin anti-microbial peptide [Source:VB Community Annotation]
AGAP002512	0.627	0.289	0.689	0.764	0.9	0.87	0.213	0.087	0.033	0.08	0.952	0.695	0.803	0.9	0.731	0.553	0	0.051	0.404	0.026	0.078	0.38	0.095	0.425	0.239	""	protein FRG1 [Source:VB Community Annotation]
AGAP010151	0.627	0.948	0.005	0.831	0	0.034	0	0.238	0	0	0.011	0.724	0.287	0.526	0.737	0.448	0.005	0.096	0.192	0.031	0.415	0.198	0.018	0.471	0.906	""	""
AGAP002601	0.628	0.948	0.054	0.835	0.016	0.005	0.964	0.989	0.104	0.146	0.783		0.985	0.915	0.588	0.504	0.003	0.042	0.156	0.275	0.005	0.169	0.618	0.847	0.596	""	nervous fingers [Source:VB Community Annotation]
AGAP008189	0.628	0.427	0.879	0.367	0.378	0.838	0.947	0.939	0.774	0.898	0.882		0.611	0.846	0.807	0.642	0.208		0.857	0.996	0.501	0.377	0.144	0.371	0.931	""	""
AGAP008404	0.628	0.784	0.021	0.01	0.134	0.018	0	0	0	0	0.126	0	0.709	0	0.943	0.002	0.098	0.154	0.134	0.236	0.617	0.977	0.943	0.887	0.723	""	""
AGAP002044	0.628		0.584	0.45	0.226	0.741	0.639	0.863		0.988	0.409			0.789	0.868		0.974		0.413	0.301	0.328	0.995		0.689		Or77	odorant receptor 77 [Source:VB Community Annotation]
AGAP005547	0.629	0.849	0.001	0	0.001	0.074	0.805	0.1	0.35	0.006	0.816	0.309	0.439	0.134	0.632	0.994	0.006	0.043	0	0.001	0	0	0.15	0.001	0	""	alpha-crystallin B chain [Source:VB Community Annotation]
AGAP011487	0.629	0.412	0.576	0.455	0	0	0.029	0.007	0.714	0.898	0	0	0.014	0.001	0.001	0	0.93	0.237	0.137	0.524	0.265	0.56	0.46	0.299	0.342	""	E3 ubiquitin-protein ligase SH3RF [Source:VB Community Annotation]
AGAP009008	0.629	0.83	0.011	0.784	0.749	0.661	0.895	0.683	0.298	0.42	0.957	0.622	0.609	0.269	0.924	0.642	0.089	0.468	0.091	0.047	0.014	0.597	0.479	0.31	0.531	""	""
AGAP003222	0.629	0.001	0.543	0.834	0.154	0.012	0.602	0.906	0.818	0.541	0.548	0.583	0.41	0.446	0.924	0.985	0.28	0.322	0.04	0.236	0.099	0.135	0.521	0.506	0.387	""	phosphatidylinositol glycan, class N [Source:VB Community Annotation]
AGAP006716	0.629	0.136	0.753	0.821	0.805	0.932	0.415	0.56		0.914	0.966		0.439	0.169			0.186	0.77	0.676	0.993	0.823	0.614	0.259	0.748	0.718	Gr27	gustatory receptor 27 [Source:VB Community Annotation]
AGAP006073	0.63	0.156	0.456	0.431	0.222	0.488	0.169	0.001	0.204	0.028	0.267	0.55	0.247	0.345	0.034	0.897	0.53	0.4	0.998	0.76	0.62	0.688	0.175	0.572	0.815	""	""
AGAP011355	0.63	0	0.18	0	0.778	0.963	0.018	0.023	0	0	0	0.87	0.004	0.158	0.001	0.04	0	0.015	0	0	0	0.42	0.235	0.551	0.226	""	""
AGAP000806	0.63	0.112	0.624	0.058	0.645	0.108	0.156	0	0	0	0.545	0.293	0.448	0.306	0.469	0.24	0.009	0.329	0.596	0.412	0.915	0.077	0.314	0	0.597	""	Angiopoietin-like 1 [Source:VB Community Annotation]
AGAP000794	0.631	0.156	0.916	0	0.925	0.011	0.127	0.12	0.027	0	0.006	0	0.092	0	0.298	0	0.032	0.286	0.044	0.06	0.156	0.069	0.104	0.001	0	""	NADH dehydrogenase (ubiquinone) Fe-S protein 2 [Source:VB Community Annotation]
AGAP001530	0.631	0.26	0.657	0.43	0.402	0.351	0.152	0.116	0	0	0.708	0.608	0.728	0.654	0.571	0.497	0.001	0.137	0.079	0.121	0.307	0.001	0.114	0.19	0.926	""	""
AGAP009992	0.631	0.779	0.028	0.104	0.037	0.024	0.767	0.977	0.707	0.874	0.347	0.094	0.535	0.231	0.899	0.529	0.059	0.596	0.476	0.195	0.066	0.306	0.832	0.581	0.642	""	inhibitor of growth protein 4 [Source:VB Community Annotation]
AGAP012606	0.631	0.634	0.274	0.079	0		0.392	0.074	0.47	0.724	0	0.197	0.012	0.404	0.001	0.155	0.013	0.321	0.973	0.604	0.351	0.004	0.181	0.849	0.899	""	golgi phosphoprotein 3 [Source:VB Community Annotation]
AGAP011481	0.631	0.146	0.085	0.293	0.318	0.135	0.706	0.013	0.103	0.014	0.88				0.729		0.012	0.573	0.652	0.804	0.917	0.889	0.616	0.555	0.791	GPR5HT1B	putative serotonin 5HT-1b receptor [Source:VB Community Annotation]
AGAP028434	0.631	0.239	0.199	0.291	0.001	0	0.537	0.973	0.948	0.959	0.002	0	0.002	0	0.016	0	0.32	0.392	0.774	0.254	0.839	0.854	0.052	0.382	0.668	""	""
AGAP008067	0.631	0.29	0.97		0.539	0.99	0.837	0.774		0.972	0.692			0.448			0.289				0.179	0.965	0.862	0.678	0.128	""	""
AGAP007703	0.631	0.173	0.434	0.15	0	0.114	0.299	0.54	0.083	0.203	0.723	0.809	0.256	0.691	0.11	0.559	0.034	0.289	0.132	0.139	0.037	0.001	0.036	0.004	0.89	""	""
AGAP012118	0.632	0.22	0.313	0.369	0.053	0.135	0.279	0.001	0.006	0.1	0.942	0.965	0.728	0.66	0.749	0.673	0.203	0.053	0.024	0.47	0.094	0.298	0.785	0.414	0.594	""	FGFR1 oncogene partner 2-like protein [Source:VB Community Annotation]
AGAP002015	0.632	0.169	0.035	0.004	0.279	0.195	0.912	0.906	0.843	0.65	0.01	0.722	0.051	0.88	0.038	0.756	0.001	0.182	0.278	0.143	0.512	0.011	0	0	0.919	""	dynein heavy chain 1, cytosolic [Source:VB Community Annotation]
AGAP006407	0.632	0.396	0.076	0.609	0.02	0.248	0.709	0.659		0.656							0.032		0.002	0.003	0.002	0.766				IR142	ionotropic receptor IR142 [Source:VB Community Annotation]
AGAP006648	0.632	0.908	0.737	0.734	0.828	0.032	0.895	0.285	0.762	0.348	0.678	0.294	0.373	0.091	0.23	0.072	0.389	0.758	0.187	0.681	0.692	0.05	0.335	0.748	0.855	Exo6	exocyst complex component 6 [Source:VB Community Annotation]
AGAP001259	0.632	0.006	0.169	0.19	0.637	0.889	0.979	0.151	0.159	0.172	0.393	0.601	0.821	0.827	0.351	0.642	0.21	0.112	0.4	0.475	0.23	0.007	0.065	0.002	0.74	""	""
AGAP007131	0.632	0.339	0.727	0.248	0.341	0.394	0.792	0.547	0.042	0.157	0.001	0.608	0.005	0.884	0.061	0.971	0.962	0.995	0.558	0.736	0.683	0	0.13	0.001	0.46	""	AP-2 complex subunit mu-1 [Source:VB Community Annotation]
AGAP007855	0.632	0.868	0.386	0.001	0.27	0.86	0.345	0.203	0	0.002	0.31	0	0.982	0.043	0.218	0	0.403	0.389	0.028	0.051	0.047	0	0.016	0	0.685	""	aurora kinase, other [Source:VB Community Annotation]
AGAP012462	0.632	0.993	0.723	0.639	0	0.301	0.634	0.936	0.953	0.397	0.929			0.199	0.343	0.982	0.095	0.365	0.636	0.972	0.072	0.887	0	0.514	0.005	CPR147	cuticular protein RR-2 family 147 [Source:VB Community Annotation]
AGAP003346	0.632	0.78	0.012	0.267	0.938	0	0.599	0.856	0.083	0.427	0.078	0.465	0.24	0.059	0.103	0.288	0.012	0.074	0.636	0.282	0.129	0.912	0.217	0.821	0.58	""	WD and tetratricopeptide repeats protein 1 [Source:VB Community Annotation]
AGAP011468	0.632		0.158	0.343	0.874	0.87	0.767	0.955		0.975				0.683			0.97	0.812	0.496	0.394	0.809	0.889		0.887		Or4	odorant receptor 4 [Source:VB Community Annotation]
AGAP004378	0.633	0	0	0.112	0.001	0.173	0.929	0.939	0.077	0	0.529	0	0.936	0	0.659	0	0.923	0.418	0.179	0.419	0.903	0.003	0	0	0.262	GSTD11	glutathione S-transferase delta class 11 [Source:VB Community Annotation]
AGAP001170	0.633	0.859	0.803	0.555	0.637	0.125	0.057	0.867		0.721	0.822			0.566			0.748		0.366	0.202	0.267	0.789	0.918	0.403	0.532	Gr48	gustatory receptor 48 [Source:VB Community Annotation]
AGAP009733	0.634	0.377	0	0.067	0	0.008	0.883	0.023	0.108	0	0.089	0	0.301	0.002	0.539	0.003	0.005	0.365	0.002	0.059	0.016	0.026	0.346	0.65	0	""	wingless-type MMTV integration site family, member 6 [Source:VB Community Annotation]
AGAP001491	0.634	0.082	0.577	0.387	0	0	0.989	0.368	0.952	0.634	0.407	0.094	0.267	0.047	0.088	0.021	0	0.116	0.299	0.037	0.097	0	0.049	0	0.809	""	Leucine-rich repeat-containing protein 57 [Source:VB Community Annotation]
AGAP007760	0.634	0.784	0	0.003	0	0	0.251	0.02	0.824	0.646	0.576	0	0.364	0	0.449	0	0.026	0.07	0	0.071	0	0.069	0.214	0.003	0.121	""	""
AGAP010700	0.635	0.897	0.186	0.884	0.013	0.226	0.684	0.924	0.071	0.05	0	0.034	0.002	0.041	0.057	0.247	0.004	0.048	0.018	0.009	0.014	0.546	0.912	0.371	0.009	""	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin [Source:VB Community Annotation]
AGAP008233	0.635	0.48	0.978	0.327	0.097	0.001	0.319	0.53	0.353	0.058	0.322	0.602	0.612	0.436	0.582	0.842	0.851	0.706	0.847	0.439	0.899	0.449	0.34	0.286	0.911	""	""
AGAP028012	0.635	0.865	0.774	0.155	0.015	0.548	0.926	0.869	0.192	0.355	0.791	0.484	0.545	0.622	0.105	0.731	0.005		0.053	0.691	0.922	0.366	0.893	0.002	0.696	""	""
AGAP011255	0.636	0.214	0.859	0.023	0	0	0.923	0.693	0.611	0.395	0.001	0.321	0.003	0.424	0	0.131	0.307	0.174	0.203	0.022	0.598	0.001	0.006	0.001	0.638	""	""
AGAP009776	0.636	0.277	0	0.046	0.66	0.536	0.365	0.007	0.018	0.036	0.862	0.485	0.682	0.843	0.499	0.988	0.666	0.309	0.192	0.94	0.344	0.365	0.132	0.016	0.019	""	anoctamin-10 [Source:VB Community Annotation]
AGAP028403	0.636	0.959	0.796	0.414	0.774	0.284	0.681	0.927		0.97				0.975			0.058		0.025	0.041	0.052	0.861	0.259	0.67	0.759	""	""
AGAP003728	0.637	0	0.969	0	0.721	0	0.767	0.647	0.333	0.286	0.021	0.57	0.21	0.815	0.167	1	0.573	0.063	0.235	0.576	0.974	0.044	0.037	0.807	0.103	""	Uncharacterized methyltransferase WBSCR22 [Source:VB Community Annotation]
AGAP008569	0.637	0.491	0.709	0.006	0.175	0.87	0.928	0.124	0.46	0.721	0.334	0.278	0.077	0.057	0.025	0.022	0.381	0.979	0.655	0.759	0.605	0.002	0.007	0.01	0.02	""	T-box protein 20 [Source:VB Community Annotation]
AGAP002414	0.637	0.002	0	0.06	0.001	0.749	0.744	0.297	0.012	0.621	0.004	0.309	0.112	0.108	0.359	0.06	0.009	0.466	0.014	0.061	0.098	0	0.009	0.006	0	""	carboxypeptidase D [Source:VB Community Annotation]
AGAP002956	0.637	0.014	0.154	0.052	0.538	0.616	0.057	0.089	0.391	0.584	0.004	0	0.058	0	0.014	0	0.438	0.957	0.375	0.634	0.099	0.66	0.882	0.134	0.281	""	splicing factor U2AF 35 kDa subunit [Source:VB Community Annotation]
AGAP003176	0.637	0	0	0.37	0.777	0	0.001	0.282	0.715	0	0.411	0.109	0.056	0.677	0.07	0.506	0	0.001	0	0	0.001	0.274	0	0.913	0.008	""	solute carrier family 23 (nucleobase transporter) [Source:VB Community Annotation]
AGAP002580	0.637	0.597	0.362	0.166	0.025	0	0.184	0.515	0.673	0.689	0.766	0.001	0.633	0	0.351	0	0.495	0.606	0.038	0.576	0.036	0.121	0.805	0.19	0.016	""	DNA helicase [Source:VB Community Annotation]
AGAP002248	0.637	0.238	0.428	0	0	0	0.342	0.464	0.101	0.052	0.871	0		0.286	0.47	0	0.995	0.997	0.111	0.145	0.152	0.035	0.027	0	0.628	""	kinesin family member C1 [Source:VB Community Annotation]
AGAP004034	0.637	0.156	0.622	0.271	0.421	0.346	0.931	0.152	0.179	0.155							0.031	0.839	0.685	0.381	0.944	0.454	0.164	0.024	0.545	GPRNNA4	putative GPCR class a orphan receptor 4 [Source:VB Community Annotation]
AGAP011309	0.638	0.035	0	0.821	0.068	0.775	0.932	0.586	0.907	0.954	0.063	0.366	0.863	0.13	0.98	0.594	0.166	0.671	0.543	0.899	0.793	0	0.001	0	0.004	""	nuclear GTP-binding protein [Source:VB Community Annotation]
AGAP009307	0.638	0.041	0.115	0.002	0.512	0.456	0.639	0.151	0.293	0.247	0.673	0	0.351	0	0.988	0	0.003	0.215	0.075	0.482	0.1	0.656	0.716	0.328	0.166	""	bromodomain-containing protein 7/9 [Source:VB Community Annotation]
AGAP000305	0.638	0.693	0.07	0.626	0.982	0.87	0.011	0	0	0	0.178	0.153	0.987	0	0.812	0.001	0	0.09	0	0.004	0	0.229	0.637	0.027	0	""	SPARC [Source:VB Community Annotation]
AGAP009399	0.638	0.351	0.93	0.821	0	0.347	0.466	0.384	0.692	0.882	0.831	0.583	0.942	0.747	0.21	0.071	0.493	0.262	0.17	0.269	0.138	0.951	0.465	0.441	0.551	""	nuclear hormone receptor FTZ-F1 beta [Source:VB Community Annotation]
AGAP000907	0.639	0.906	0.021	0.324	0.42	0.382	0.914	0.958	0.642	0.588	0.762	0.099	0.121	0.703	0.337	0.985	0	0.329	0.001	0.016	0	0.04	0.01	0.219	0.498	""	""
AGAP002388	0.64	0.006	0.934	0.32	0.608	0.312	0.277	0.812	0.765	0.524	0.149	0.55	0.203	0.044	0.013	0.664	0	0.111	0	0.004	0.001	0.114	0.207	0.191	0.91	""	Endonuclease III homolog [Source:UniProtKB/TrEMBL;Acc:Q7QC07]
AGAP002848	0.64	0.791	0.179	0.014	0.785	0.013	0.046	0.097	0	0	0.002	0.927	0.014	0.724	0.066	0.442	0.732	0.012	0.004	0		0.006	0.102	0	0.036	""	Niemann-Pick Type C-2 [Source:VB Community Annotation]
AGAP009858	0.64		0.543		0.938	0.11	0.895	0.958		0.898				0.704	0.585		0.85		0.444	0.228	0.164	0.889		0.913		Gr3	gustatory receptor 3 [Source:VB Community Annotation]
AGAP012097	0.64	0.948	0.012	0.003	0.133	0.004	0.173	0	0	0	0.132	0	0.436	0	0.245	0	0	0.198	0	0.186	0	0.001	0.394	0.018	0.001	SLC25A11	mitochondrial 2-oxoglutarate/malate transporter (solute carrier family 25) [Source:VB Community Annotation]
AGAP012143	0.641	0.516	0.018	0.174	0	0	0.729	0.366	0.115	0.023	0.198	0.297	0.245	0.345	0.256	0.325	0.584	0.888	0.59	0.143	0.447	0.008	0.179	0	0.832	""	mTERF domain-containing protein, mitochondrial [Source:VB Community Annotation]
AGAP001656	0.641	0	0.577	0.003	0.048	0.001	0.681	0.892	0.915	0.666	0.129	0.015	0.55	0	0.385	0	0	0.063	0	0	0.001	0.217	0.908	0.009	0.004	""	ribosomal RNA-processing protein 7 [Source:VB Community Annotation]
AGAP005267	0.641	0.798	0.555	0.928	0.683	0.794	0.681	0.282	0.138	0.014	0.576	0.67	0.345	0.611	0.72	0.582	0.079	0.802	0.869	0.543	0.719	0.916	0.99	0.913	0.166	""	ADP-ribosylation factor-like protein 2 [Source:VB Community Annotation]
AGAP008711	0.641	0.904	0.264	0.486	0	0.125	0.55	0.001	0.006	0.04	0.001	0.02	0.03	0.104	0.006	0.064	0.978	0.895	0.433	0.47	0.22	0.49	0.534	0.99	0.024	""	solute carrier organic anion transporter family, member 3A [Source:VB Community Annotation]
AGAP012677	0.641	0.718	0.195	0.027	0	0.001	0	0.412	0	0							0		0	0	0	0	0.011	0	0.001	""	""
AGAP000589	0.641	0.148	0.119	0.163	0	0.531	0.075	0	0.033	0.033	0.793	0.644	0.246	0.127	0.818	0.677	0.078	0.516	0.629	0.577	0.497	0.017	0.049	0	0.921	""	poly(ADP-ribose) glycohydrolase [Source:VB Community Annotation]
AGAP003006	0.641	0	0.012	0.253	0.002	0	0	0.102	0.204	0.332	0.197	0.098	0.725	0.001	0.668	0	0	0.466	0.986	0.631	0.534	0	0.759	0.008	0.723	""	""
AGAP004350	0.641	0.188	0.97	0.6	0	0.001	0	0.565	0.395	0.103		0.931		0.744			0		0	0.001	0	0	0	0	0.181	""	Synaptic vesicle protein [Source:VB Community Annotation]
AGAP009084	0.641	0.683	0.781		0.33	0.87	0.952	0.861		0.694				0.844	0.894		0.471	0.795	0.546	0.199	0.541	0.889		0.781		""	""
AGAP012160	0.641	0.529	0.049	0.192	0.002	0.141	0.248	0.759	0.037	0.091	0.42	0.012	0.218	0	0.018	0	0.173		0.146	0.143	0.256	0.294	0.017	0.314	0	""	kinetochore-associated protein 1 [Source:VB Community Annotation]
AGAP003593	0.642	0.291	0.012	0.03	0.731	0.691	0.523	0.76	0.935	0.836	0.558	0.85	0.049	0.23	0.177	0.396	0.384	0.796	0.611	0.959	0.399	0.621	0.899	0.066	0.005	""	Protein arginine methyltransferase RmtB [Source:VB Community Annotation]
AGAP007944	0.642	0.113	0	0.261	0.002	0	0.722	0.214	0.001	0	0.004	0.085	0.002	0.041	0.051	0.126	0.017	0.651	0.985	0.47	0.494	0.016	0.146	0.015	0.07	""	""
AGAP003035	0.642	0.011	0.008	0.119	0.637	0.002	0.408	0.632	0.319	0.087	0.012	0.07	0.035	0.161	0.584	0.962	0.343	0.711	0.66	0.625	0.205	0.561	0.917	0.252	0.021	""	AP-3 complex subunit beta [Source:UniProtKB/TrEMBL;Acc:A7USR3]
AGAP008055	0.642	0.021	0.578	0.105	0	0.005	0.415	0.856	0.038	0.006	0.653	0.832	0.373	0.141	0.333	0.147	0	0.01	0	0.001	0	0.756	0.388	0.488	0.698	CSP3	chemosensory protein 3 [Source:VB Community Annotation]
AGAP006263	0.642	0.129	0.342	0	0.711	0.411	0.074	0.815	0.321	0.743	0.766	0	0.479	0.028			0.054	0.003	0	0.021	0.016	0	0.242	0.133	0.005	ARR2	arrestin Arr2-like [Source:VB Community Annotation]
AGAP010077	0.642	0.934	0.984	0.573	0.099	0	0.952	0.802	0.921	0.773	0.045	0.083	0.123	0.318	0.398		0.764		0.134		0.044	0.577	0.265	0.747	0.203	CYP303A1	cytochrome P450 [Source:VB Community Annotation]
AGAP001402	0.642	0.236	0.159	0.619	0.001	0.096	0.857	0.861	0.673	0.331	0.585	0.003	0.439	0.002	0.236	0.005	0.872	0.295	0.784	0.002	0.638	0.702	0.908	0.725	0	""	CAS1 domain-containing protein 1 [Source:VB Community Annotation]
AGAP003798	0.642	0.369	0.45	0.015	0.052	0.96	0.316	0.633	0.208	0.291	0.237	0.099	0.263	0.114	0.348	0.188	0.959	0.335	0.024	0.087	0.15	0.214	0.292	0.651	0.901	""	growth hormone regulated TBC protein 1b [Source:VB Community Annotation]
AGAP005346	0.642	0.683	0.553	0.192	0.112	0.164	0.21	0.261	0.188	0.695	0.785	0.467	0.526	0.199	0.621	0.367	0.468	0.505	0.845	0.604	0.772	0.461	0.748	0.78	0.433	""	""
AGAP006443	0.642	0.285	0.978	0.619	0.005	0	0.591	0.563		0.55	0.316			0.663	0.111	0.095	0.31	0.522	0.55	0.336	0.467	0.777	0.682	0.714	0.1	""	venom allergen [Source:VB Community Annotation]
AGAP012745	0.642	0.68	0.588	0.002	0.001	0.02	0	0.902	0.006	0	0.699	0.554	0.012	0	0.544	0.086	0	0.029	0.025	0	0.287	0	0	0	0	""	Anpep [Source:VB Community Annotation]
AGAP000413	0.643	0.183	0.108	0.013	0.414	0.781	0.173	0.277	0.855	0.708	0.699	0.439	0.791	0.533	0.622	0.402	0.185	0.722	0.854	0.858	0.97	0.77	0.997	0.813	0.231	""	""
AGAP003536	0.643	0.787	0.828	0.461	0.043	0.923	0.464	0.299	0.378	0.401	0.91	0.228	0.556	0.07	0.807	0.168	0.883	0.923	0.841	0.437	0.578	0.772	0.358	0.595	0.231	""	solute carrier family 25 (mitochondrial S-adenosylmethionine transporter) [Source:VB Community Annotation]
